City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Ratekau,DE,2021-12-28 01:54:31,53.95,10.7333,34.21,86,75,8.05
271,Fare,PF,2021-12-28 01:54:32,-16.7,-151.0167,80.28,66,22,3.24
272,Longyearbyen,SJ,2021-12-28 01:54:32,78.2186,15.6401,6.64,78,0,11.5
273,Trairi,BR,2021-12-28 01:53:52,-3.2778,-39.2689,79.41,83,22,8.21
274,Hovd,MN,2021-12-28 01:54:32,48.0056,91.6419,-3.64,78,16,1.16
275,Belaya Gora,RU,2021-12-28 01:54:33,68.5333,146.4167,-32.28,100,90,4.65
276,Cidreira,BR,2021-12-28 01:54:33,-30.1811,-50.2056,72.41,78,1,11.36
277,Pacific Grove,US,2021-12-28 01:55:33,36.6177,-121.9166,48.42,81,98,4.0
278,Xiaoshi,CN,2021-12-28 01:55:34,41.2971,124.1209,24.82,48,0,6.15
279,Rosarito,MX,2021-12-28 01:55:34,32.3333,-117.0333,55.13,70,99,15.93
280,Koryazhma,RU,2021-12-28 01:55:35,61.3143,47.1691,0.48,97,98,7.27
281,Beloha,MG,2021-12-28 01:55:35,-25.1667,45.05,70.99,87,31,9.4
282,Sao Filipe,CV,2021-12-28 01:55:35,14.8961,-24.4956,75.96,63,1,7.81
283,Nathdwara,IN,2021-12-28 01:55:36,24.9333,73.8167,54.59,89,100,9.75
284,Vila,PT,2021-12-28 01:55:36,42.0304,-8.1588,49.08,93,100,7.38
285,Port Blair,IN,2021-12-28 01:55:36,11.6667,92.75,81.84,69,5,14.2
286,Hasaki,JP,2021-12-28 01:55:37,35.7333,140.8333,43.29,41,1,19.89
287,Northam,GB,2021-12-28 01:55:37,51.0333,-4.2167,51.42,97,100,19.3
288,Los Barrios,ES,2021-12-28 01:55:37,36.1848,-5.4921,64.22,97,32,5.44
289,Wanaka,NZ,2021-12-28 01:55:38,-44.7,169.15,62.44,49,78,4.59
290,Kenora,CA,2021-12-28 01:52:01,49.8167,-94.4337,12.18,85,90,0.0
291,Saint-Andre-Les-Vergers,FR,2021-12-28 01:55:38,48.2853,4.0521,50.04,93,90,16.11
